Cluster,GeneSymbol
TA,Mgme1
TA,Sfrp5
TA,Nmral1
TA,Trim37
TA,Chek1
TA,Smo
TA,Suv39h2
TA,Prim2
TA,Mms22l
TA,Haus6
TA,Scn2b
Late_Enterocytes_Progenitors,Apol10a
Late_Enterocytes_Progenitors,St3gal4
Late_Enterocytes_Progenitors,Cdkn2b
Late_Enterocytes_Progenitors,Alpi
Late_Enterocytes_Progenitors,Fam3b
Late_Enterocytes_Progenitors,Slc26a6
Late_Enterocytes_Progenitors,Slc40a1
Late_Enterocytes_Progenitors,Chp2
Late_Enterocytes_Progenitors,Slc13a1
Late_Enterocytes_Progenitors,Lgals3
Late_Enterocytes_Progenitors,Hsd17b2
Late_Enterocytes_Progenitors,Slc51a
Late_Enterocytes_Progenitors,Gsdmc4
Late_Enterocytes_Progenitors,Efnb2
Late_Enterocytes_Progenitors,Edn2
Late_Enterocytes_Progenitors,Maf
Late_Enterocytes_Progenitors,Sult6b2
Late_Enterocytes_Progenitors,Mall
Late_Enterocytes_Progenitors,Ms4a18
Late_Enterocytes_Progenitors,Hkdc1
Late_Enterocytes_Progenitors,Slc25a45
Late_Enterocytes_Progenitors,Ces1f
Late_Enterocytes_Progenitors,Enpep
Late_Enterocytes_Progenitors,Slc7a9
Late_Enterocytes_Progenitors,Creb3l3
Late_Enterocytes_Progenitors,BC025446
Late_Enterocytes_Progenitors,Sis
Late_Enterocytes_Progenitors,Clec2h
Late_Enterocytes_Progenitors,Adh6a
Late_Enterocytes_Progenitors,Nr1i3
Late_Enterocytes_Progenitors,Reg3g
Late_Enterocytes_Progenitors,Batf2
Late_Enterocytes_Progenitors,Erich4
Late_Enterocytes_Progenitors,Pla2g12b
Late_Enterocytes_Progenitors,Arg2
Late_Enterocytes_Progenitors,Slc26a3
Late_Enterocytes_Progenitors,Smlr1
Late_Enterocytes_Progenitors,Upp1
Late_Enterocytes_Progenitors,2010106E10Rik
Late_Enterocytes_Progenitors,Car4
Late_Enterocytes_Progenitors,Clic5
Late_Enterocytes_Progenitors,Cyp4f14
Late_Enterocytes_Progenitors,Akr1b8
Late_Enterocytes_Progenitors,Cox7a1
Late_Enterocytes_Progenitors,Krt20
Late_Enterocytes_Progenitors,Tm6sf2
Late_Enterocytes_Progenitors,2200002D01Rik
Late_Enterocytes_Progenitors,Slc25a24
Late_Enterocytes_Progenitors,Ugt2a3
Late_Enterocytes_Progenitors,Cideb
Late_Enterocytes_Progenitors,0610005C13Rik
Late_Enterocytes_Progenitors,Mical2
Late_Enterocytes_Progenitors,Capg
Late_Enterocytes_Progenitors,Coro2a
Late_Enterocytes_Progenitors,Npc1l1
Late_Enterocytes_Progenitors,Tubal3
Late_Enterocytes_Progenitors,Slc28a3
Late_Enterocytes_Progenitors,Sult1b1
Late_Enterocytes_Progenitors,Mogat2
Late_Enterocytes_Progenitors,S100g
Late_Enterocytes_Progenitors,Tmem253
Late_Enterocytes_Progenitors,Il18
Late_Enterocytes_Progenitors,Ces2e
Late_Enterocytes_Progenitors,Abcg5
Late_Enterocytes_Progenitors,Mylk
Late_Enterocytes_Progenitors,Dhrs11
Late_Enterocytes_Progenitors,Sdcbp2
Late_Enterocytes_Progenitors,Ugt2b5
Late_Enterocytes_Progenitors,Akr1c19
Late_Enterocytes_Progenitors,Reg3b
Late_Enterocytes_Progenitors,Tmem139
Late_Enterocytes_Progenitors,Nat8
Late_Enterocytes_Progenitors,Cst6
Late_Enterocytes_Progenitors,Gna11
Late_Enterocytes_Progenitors,Cyp2c68
Late_Enterocytes_Progenitors,Ccl20
Late_Enterocytes_Progenitors,Smim24
Late_Enterocytes_Progenitors,Hsd17b6
Late_Enterocytes_Progenitors,Anpep
Late_Enterocytes_Progenitors,Casp6
Late_Enterocytes_Progenitors,Mpp1
Late_Enterocytes_Progenitors,Rbp2
Late_Enterocytes_Progenitors,Btnl1
Late_Enterocytes_Progenitors,Vstm5
Late_Enterocytes_Progenitors,Anxa2
Late_Enterocytes_Progenitors,Papss2
Late_Enterocytes_Progenitors,Serpinb6a
Late_Enterocytes_Progenitors,Gsta4
Late_Enterocytes_Progenitors,Mttp
Late_Enterocytes_Progenitors,Cyp3a13
Late_Enterocytes_Progenitors,Spink1
Late_Enterocytes_Progenitors,Ms4a10
Late_Enterocytes_Progenitors,Fam20a
Late_Enterocytes_Progenitors,Slc3a1
Late_Enterocytes_Progenitors,Tmem37
Late_Enterocytes_Progenitors,Pdzd3
Late_Enterocytes_Progenitors,Gm3336
Late_Enterocytes_Progenitors,Ces2c
Late_Enterocytes_Progenitors,Abhd3
Late_Enterocytes_Progenitors,Srxn1
Late_Enterocytes_Progenitors,Trim31
Late_Enterocytes_Progenitors,Mep1b
Late_Enterocytes_Progenitors,Abhd18
Late_Enterocytes_Progenitors,1810065E05Rik
Late_Enterocytes_Progenitors,Fcgrt
Late_Enterocytes_Progenitors,Tmem236
Late_Enterocytes_Progenitors,Fmo5
Late_Enterocytes_Progenitors,Exoc3l4
Late_Enterocytes_Progenitors,Mal2
Late_Enterocytes_Progenitors,Ppargc1a
Late_Enterocytes_Progenitors,Tstd3
Late_Enterocytes_Progenitors,Acot9
Late_Enterocytes_Progenitors,Hsd17b13
Late_Enterocytes_Progenitors,Acbd4
Late_Enterocytes_Progenitors,Maoa
Late_Enterocytes_Progenitors,Slc51b
Late_Enterocytes_Progenitors,Cyp2c66
Late_Enterocytes_Progenitors,Bche
Late_Enterocytes_Progenitors,Ace2
Late_Enterocytes_Progenitors,Pfkp
Late_Enterocytes_Progenitors,Gnpda1
Late_Enterocytes_Progenitors,Abcc2
Late_Enterocytes_Progenitors,Ms4a8a
Late_Enterocytes_Progenitors,Agpat2
Late_Enterocytes_Progenitors,Lypd8
Late_Enterocytes_Progenitors,Acot11
Late_Enterocytes_Progenitors,Cyp2d26
Late_Enterocytes_Progenitors,Ugt2b34
Late_Enterocytes_Progenitors,Abat
Late_Enterocytes_Progenitors,Elovl6
Late_Enterocytes_Progenitors,Abcg8
Late_Enterocytes_Progenitors,Hdhd3
Late_Enterocytes_Progenitors,Tm4sf5
Late_Enterocytes_Progenitors,Anxa13
Late_Enterocytes_Progenitors,Sfi1
Late_Enterocytes_Progenitors,Khk
Late_Enterocytes_Progenitors,Bpnt1
Late_Enterocytes_Progenitors,Ckmt1
Late_Enterocytes_Progenitors,AA467197
Late_Enterocytes_Progenitors,Pccb
Late_Enterocytes_Progenitors,Gstm3
Late_Enterocytes_Progenitors,Nr1h4
Late_Enterocytes_Progenitors,Slc6a20a
Late_Enterocytes_Progenitors,Sult1d1
Late_Enterocytes_Progenitors,Krt19
Late_Enterocytes_Progenitors,Adh1
Late_Enterocytes_Progenitors,Cldn23
Late_Enterocytes_Progenitors,Stap2
Late_Enterocytes_Progenitors,Glod5
Late_Enterocytes_Progenitors,Rhoc
Late_Enterocytes_Progenitors,Sec23a
Late_Enterocytes_Progenitors,Dgat1
Late_Enterocytes_Progenitors,Nqo1
Late_Enterocytes_Progenitors,Ugt2b36
Late_Enterocytes_Progenitors,Tmem120a
Late_Enterocytes_Progenitors,Aldh3b1
Late_Enterocytes_Progenitors,Mvp
Late_Enterocytes_Progenitors,4930402H24Rik
Late_Enterocytes_Progenitors,Aoc1
Late_Enterocytes_Progenitors,Aldob
Late_Enterocytes_Progenitors,Serpinb1a
Late_Enterocytes_Progenitors,Aadac
Late_Enterocytes_Progenitors,Ppara
Late_Enterocytes_Progenitors,Rab3gap2
Late_Enterocytes_Progenitors,Slc7a7
Late_Enterocytes_Progenitors,Gpx1
Late_Enterocytes_Progenitors,Kdm5b
Late_Enterocytes_Progenitors,Idh1
Late_Enterocytes_Progenitors,Pcyt1a
Late_Enterocytes_Progenitors,Smpdl3a
Late_Enterocytes_Progenitors,Reg1
Late_Enterocytes_Progenitors,Naip1
Late_Enterocytes_Progenitors,Sult2b1
Late_Enterocytes_Progenitors,AA986860
Late_Enterocytes_Progenitors,Myo1a
Late_Enterocytes_Progenitors,Cyp2c65
Late_Enterocytes_Progenitors,Fabp1
Late_Enterocytes_Progenitors,Slc35b1
Late_Enterocytes_Progenitors,Tgfbi
Late_Enterocytes_Progenitors,Fahd1
Late_Enterocytes_Progenitors,Rbp7
Late_Enterocytes_Progenitors,Tmem150b
Late_Enterocytes_Progenitors,Ces2a
Late_Enterocytes_Progenitors,Hist1h2bc
Late_Enterocytes_Progenitors,Tmem86a
Late_Enterocytes_Progenitors,Rab17
Late_Enterocytes_Progenitors,Atp6v0a2
Late_Enterocytes_Progenitors,Zzef1
Late_Enterocytes_Progenitors,Tax1bp3
Late_Enterocytes_Progenitors,Tkfc
Late_Enterocytes_Progenitors,Rnasel
Late_Enterocytes_Progenitors,Fam234a
Late_Enterocytes_Progenitors,Slc44a4
Late_Enterocytes_Progenitors,Akr1c13
Late_Enterocytes_Progenitors,Rdh7
Late_Enterocytes_Progenitors,Mgst3
Late_Enterocytes_Progenitors,Naaladl1
Late_Enterocytes_Progenitors,Tmem106a
Late_Enterocytes_Progenitors,Acad11
Late_Enterocytes_Progenitors,Slc6a8
Late_Enterocytes_Progenitors,Sqrdl
Late_Enterocytes_Progenitors,Igsf5
Late_Enterocytes_Progenitors,Ccl25
Late_Enterocytes_Progenitors,Cmbl
Late_Enterocytes_Progenitors,Slc6a4
Late_Enterocytes_Progenitors,Acy1
Late_Enterocytes_Progenitors,Mkrn2os
Late_Enterocytes_Progenitors,Gal3st1
Late_Enterocytes_Progenitors,Atp7b
Late_Enterocytes_Progenitors,H2-T3
Late_Enterocytes_Progenitors,H2-Q2
Late_Enterocytes_Progenitors,Acp5
Late_Enterocytes_Progenitors,Ces1e
Late_Enterocytes_Progenitors,Mgat4a
Late_Enterocytes_Progenitors,Tprn
Late_Enterocytes_Progenitors,Gpr55
Late_Enterocytes_Progenitors,Ugdh
Late_Enterocytes_Progenitors,Prpsap1
Late_Enterocytes_Progenitors,Nol4l
Late_Enterocytes_Progenitors,1600014C10Rik
Late_Enterocytes_Progenitors,Pik3c2b
Late_Enterocytes_Progenitors,Sesn1
Late_Enterocytes_Progenitors,Pank3
Late_Enterocytes_Progenitors,Mertk
Late_Enterocytes_Progenitors,Abhd11os
Late_Enterocytes_Progenitors,Slc22a18
Late_Enterocytes_Progenitors,Myh14
Late_Enterocytes_Progenitors,Cda
Late_Enterocytes_Progenitors,Tmem252
Late_Enterocytes_Progenitors,Lrp1
Late_Enterocytes_Progenitors,Nat8f4
Late_Enterocytes_Progenitors,C77080
Late_Enterocytes_Progenitors,Marc2
Late_Enterocytes_Progenitors,Phgr1
Late_Enterocytes_Progenitors,Aqp11
Late_Enterocytes_Progenitors,Slc27a4
Late_Enterocytes_Progenitors,Myo15b
Late_Enterocytes_Progenitors,Ccdc71l
Late_Enterocytes_Progenitors,Pklr
Late_Enterocytes_Progenitors,Prkag2
Late_Enterocytes_Progenitors,Dok4
Late_Enterocytes_Progenitors,Cyb5r3
Late_Enterocytes_Progenitors,Duoxa2
Late_Enterocytes_Progenitors,CH25-588N10.2
Late_Enterocytes_Progenitors,Fth1
Late_Enterocytes_Progenitors,Gstk1
Late_Enterocytes_Progenitors,Myo5b
Late_Enterocytes_Progenitors,Maob
Late_Enterocytes_Progenitors,Mdh2
Late_Enterocytes_Progenitors,Il17rc
Late_Enterocytes_Progenitors,4930415O20Rik
Late_Enterocytes_Progenitors,Cyp2j6
Late_Enterocytes_Progenitors,Hnf4g
Late_Enterocytes_Progenitors,Abcb1a
Late_Enterocytes_Progenitors,Plac8
Late_Enterocytes_Progenitors,Slc39a4
Late_Enterocytes_Progenitors,Acox1
Late_Enterocytes_Progenitors,Gpr160
Late_Enterocytes_Progenitors,Krt8
Late_Enterocytes_Progenitors,Ehhadh
Late_Enterocytes_Progenitors,Cdhr5
Tuft,Rgs13
Tuft,Lrmp
Tuft,Hck
Tuft,Avil
Tuft,Dclk1
Tuft,Sh2d6
Tuft,Alox5ap
Tuft,Hpgds
Tuft,Kctd12
Tuft,Ltc4s
Tuft,Tspan6
Tuft,Tuba1a
Tuft,Fyb
Tuft,Espn
Tuft,Smpx
Tuft,Reep5
Tuft,Krt23
Tuft,Rgs2
Tuft,Atp2a3
Tuft,Ccdc28b
Tuft,Cd24a
Tuft,Tm4sf4
Tuft,Gde1
Tuft,Ptpn6
Tuft,Skap2
Tuft,Snrnp25
Tuft,Irf7
Tuft,Fam221a
Tuft,Krt18
Tuft,Il13ra1
Tuft,Dpysl2
Tuft,Inpp5j
Tuft,Hepacam2
Tuft,Aldh2
Tuft,Ypel2
Tuft,Bpgm
Tuft,Chn2
Tuft,Pla2g4a
Tuft,Bcl2l14
Tuft,Ptpn18
Tuft,Ethe1
Tuft,Myo1b
Tuft,Samd9l
Tuft,Gga2
Tuft,Adh1
Tuft,Ifi27
Tuft,Tmem176a
Tuft,Cdhr5
Tuft,Inpp5b
Tuft,Selenom
Tuft,Aldh3a2
Tuft,9030624J02Rik
Tuft,Abhd2
Tuft,Tmem141
Tuft,Zfp428
Tuft,Tmem38b
Tuft,Tmem176b
Tuft,Arhgef28
Tuft,Tmem9
Tuft,Prr15
Tuft,Rbm38
Tuft,Rassf6
Tuft,S100a1
Tuft,Card19
Tuft,Crot
Tuft,Clmn
Tuft,Ms4a8a
Tuft,Phlda1
Tuft,Marcksl1
Tuft,Mical1
Tuft,Coprs
Tuft,B4galt5
Tuft,Asah1
Tuft,B4galt4
Tuft,Rabgap1l
Tuft,Fbxo25
Tuft,Suco
Tuft,Rhoc
Tuft,Map1lc3a
Tuft,Atat1
Tuft,S100a13
Tuft,Slc27a1
Tuft,BC016579
Tuft,Ypel3
Tuft,Jmy
Tuft,Psd3
Tuft,Gadd45g
Tuft,Ctsc
Tuft,Pqlc1
Tuft,Bicd1
Tuft,Sec14l1
Tuft,Gadd45a
Tuft,Bub3
Tuft,Dapp1
Tuft,Kdm4a
Tuft,Sdcbp2
Tuft,Gnai2
Tuft,Zbtb20
Tuft,Eid1
Tuft,Galk1
Secretory_Precursor,Khdc1a
Secretory_Precursor,Gm27028
Secretory_Precursor,Zap70
Secretory_Precursor,4930556I23Rik
Secretory_Precursor,Gpr45
Secretory_Precursor,Gm4319
Secretory_Precursor,Fcer1g
Secretory_Precursor,Cd48
Secretory_Precursor,1810012K08Rik
Secretory_Precursor,Lhx2
Secretory_Precursor,Olfr1122
Secretory_Precursor,Olfr1274-ps
Secretory_Precursor,Gm13889
Secretory_Precursor,Olfr1312
Secretory_Precursor,Cst7
Secretory_Precursor,Gpr34
Secretory_Precursor,Arhgef6
Secretory_Precursor,Gm7173
Secretory_Precursor,Tmem47
Secretory_Precursor,Msn
Secretory_Precursor,Il2rg
Secretory_Precursor,Frmpd3
Secretory_Precursor,Pkia
Secretory_Precursor,Stmn2
Secretory_Precursor,1700112D23Rik
Secretory_Precursor,Pex5l
Secretory_Precursor,Gm20089
Secretory_Precursor,B430305J03Rik
Secretory_Precursor,Oaz3
Secretory_Precursor,Sema6c
Secretory_Precursor,Gm43076
Secretory_Precursor,Gm5546
Secretory_Precursor,Gm29561
Secretory_Precursor,Wnt2b
Secretory_Precursor,Gm29151
Secretory_Precursor,Gm42893
Secretory_Precursor,Asb17
Secretory_Precursor,Sit1
Secretory_Precursor,Tmod1
Secretory_Precursor,Zfp37
Secretory_Precursor,Akna
Secretory_Precursor,Gm12802
Secretory_Precursor,Tie1
Secretory_Precursor,Olfr1330
Secretory_Precursor,Zmynd12
Secretory_Precursor,Gm8773
Secretory_Precursor,Ccdc146
Secretory_Precursor,Spp1
Secretory_Precursor,Gbp4
Secretory_Precursor,Gm26519
Secretory_Precursor,Gm26515
Secretory_Precursor,Selplg
Secretory_Precursor,Pla2g1b
Secretory_Precursor,Gm26745
Secretory_Precursor,Gimap4
Secretory_Precursor,Rprl1
Secretory_Precursor,Cd8a
Secretory_Precursor,Gkn2
Secretory_Precursor,Arhgap25
Secretory_Precursor,Slc6a12
Secretory_Precursor,Klrb1
Secretory_Precursor,Klrd1
Secretory_Precursor,Arhgdib
Secretory_Precursor,Oscar
Secretory_Precursor,Gpr4
Secretory_Precursor,Ckm
Secretory_Precursor,Tmem91
Secretory_Precursor,Gm44631
Secretory_Precursor,D530033B14Rik
Secretory_Precursor,Nkg7
Secretory_Precursor,Gm45123
Secretory_Precursor,Il4i1
Secretory_Precursor,Gm45552
Secretory_Precursor,Gm44899
Secretory_Precursor,Tenm4
Secretory_Precursor,Gm45188
Secretory_Precursor,Il21r
Secretory_Precursor,Gm4265
Secretory_Precursor,Htra1
Secretory_Precursor,Stk32c
Secretory_Precursor,Gje1
Secretory_Precursor,Lin28b
Secretory_Precursor,Hsf2
Secretory_Precursor,Gm17059
Secretory_Precursor,2810425M01Rik
Secretory_Precursor,Gm9978
Secretory_Precursor,Hcn2
Secretory_Precursor,Hmha1
Secretory_Precursor,Gm15963
Secretory_Precursor,Gm6763
Secretory_Precursor,Ifng
Secretory_Precursor,Gm21119
Secretory_Precursor,Ap3m2
Secretory_Precursor,Gm45572
Secretory_Precursor,Gm9951
Secretory_Precursor,Gm5741
Secretory_Precursor,Adgrg5
Secretory_Precursor,Stab1
Secretory_Precursor,Rnase6
Secretory_Precursor,Rpgrip1
Secretory_Precursor,Gzmb
Secretory_Precursor,Fam124a
Secretory_Precursor,Olfr859
Secretory_Precursor,Gm26733
Secretory_Precursor,Gm26511
Secretory_Precursor,RP23-62D21.4
Secretory_Precursor,RP23-356D13.5
Secretory_Precursor,RP24-175C20.5
Secretory_Precursor,Cd3g
Secretory_Precursor,Cd3d
Secretory_Precursor,Cd3e
Secretory_Precursor,RP23-137G18.2
Secretory_Precursor,RP23-100M12.7
Secretory_Precursor,Gm17477
Secretory_Precursor,Gm28625
Secretory_Precursor,A930006L05Rik
Secretory_Precursor,RP24-365A12.2
Secretory_Precursor,Ccr9
Secretory_Precursor,Kcnmb1
Secretory_Precursor,Lcp2
Secretory_Precursor,Gm12184
Secretory_Precursor,Gm43951
Secretory_Precursor,Gm26563
Secretory_Precursor,Spaca3
Secretory_Precursor,Ccl8
Secretory_Precursor,Ccl5
Secretory_Precursor,Ccl3
Secretory_Precursor,Wfdc18
Secretory_Precursor,Dgkeos
Secretory_Precursor,Gm11537
Secretory_Precursor,Ikzf3
Secretory_Precursor,Krt39
Secretory_Precursor,Gm11672
Secretory_Precursor,Gm11728
Secretory_Precursor,Cd7
Secretory_Precursor,Fn3krp
Secretory_Precursor,Actn2
Secretory_Precursor,Zkscan4
Secretory_Precursor,Hist1h3f
Secretory_Precursor,Barx1
Secretory_Precursor,Ube2ql1
Secretory_Precursor,Gzma
Secretory_Precursor,Gm5784
Secretory_Precursor,Gm20069
Secretory_Precursor,Asb2
Secretory_Precursor,Vipr2
Secretory_Precursor,Gm2093
Secretory_Precursor,4930556M19Rik
Secretory_Precursor,Fam136b-ps
Secretory_Precursor,Gm26704
Secretory_Precursor,Gm35339
Secretory_Precursor,Il2rb
Secretory_Precursor,Gm26798
Secretory_Precursor,Gm26760
Secretory_Precursor,Nckap5los
Secretory_Precursor,Itgb7
Secretory_Precursor,Gm26675
Secretory_Precursor,Cd200r4
Secretory_Precursor,Cd200r2
Secretory_Precursor,Dppa2
Secretory_Precursor,Trat1
Secretory_Precursor,Rpl3l
Secretory_Precursor,Tff1
Secretory_Precursor,Dpcr1
Secretory_Precursor,Gm19585
Secretory_Precursor,Gm17949
Secretory_Precursor,Pcdhgb6
Secretory_Precursor,3-Mar
Secretory_Precursor,Gm4951
Secretory_Precursor,Ctsw
Secretory_Precursor,Olfr1459
Secretory_Precursor,Olfr1484
Secretory_Precursor,Gm5248
Secretory_Precursor,Cc2d2b
